Built-in Function,Python Equivalent,JavaScript Equivalent
abs,abs,Math.abs
len,len,.length
round,round,Math.round
max,max,Math.max
min,min,Math.min
sum,sum,reduce((acc, curr) => acc + curr, 0)
print,print,console.log
input,input,prompt
str,str,String
int,int,parseInt
float,float,parseFloat
list,list,Array
tuple,tuple,Array
dict,dict,Object
set,set,Set
sorted,sorted,Array.from
reversed,reversed,Array.reverse
range,range,Array.from
enumerate,enumerate,Object.entries
